Codigo,Descricao,ValorTUNEP
31000002,CIRURGIA MULTIPLA,"0,00"
31001017,NEFROPEXIA,"1.077,90"
31001025,TRATAMENTO CIRURGICO DE FISTULAS URETERAIS,"1.073,57"
31001084,EPIDIDIMO DEFERENTE NEOSTOMIA,"634,10"
31001092,ESPERMATOCELECTOMIA,"488,27"
31001106,AMPUTACAO DO PENIS,"1.103,82"
31002021,TRATAMENTO CIRURGICO DA URETEROCELE,"1.044,41"
31002030,CISTECTOMIA PARCIAL,"1.134,90"
31002048,EXTIRPACAO DE GLANDULA DE COWPER,"678,27"
31002056,INCISAO E DRENAGEM DE ABSCESSO PROSTATICO,"711,77"
31002064,EXPLORACAO CIRURGICA DA BOLSA ESCROTAL,"623,75"
31002072,TRATAMENTO CIRURGICO DA HIDROCELE,"469,80"
31002080,EPIDIDIMECTOMIA,"634,10"
31002099,EXERESE DE CISTO DO CORDAO ESPERMATICO,"488,27"
31003010,TRATAMENTO CIRURGICO DA HIPERTENSAO RENOVASCULAR,"2.014,20"
31003028,URETERECTOMIA,"1.010,77"
31003036,CISTECTOMIA TOTAL,"2.193,22"
31003052,PROSTATECTOMIA SUPRA PUBICA - EXCLUSIVO PARA CAMPA,"1.502,19"
31003060,INCISAO E DRENAGEM DE ABSCESSO DA BOLSA ESCROTAL,"218,31"
31003079,TRATAMENTO CIRURGICO DA VARICOCELE,"520,71"
31003095,EXERESE DE TUMOR DO CORDAO ESPERMATICO,"455,65"
31004024,URETEROCISTONEOSTOMIA,"1.508,62"
31004032,CISTECTOMIA TOTAL E DERIVACAO EM UM SO TEMPO,"2.193,22"
31004040,INCISAO E DRENAGEM DE ABSCESSO DA GLANDULA DE COW,"678,27"
31004059,PROSTATOVESICULECTOMIA,"1.902,41"
31004067,PLASTICA DA BOLSA ESCROTAL,"623,75"
31004075,ORQUIECTOMIA UNILATERAL,"455,16"
31004083,EPIDIDIMECTOMIA COM ESVAZIAMENTO GANGLIONAR,"553,43"
31004105,POSTECTOMIA (CIRCUNCISAO),"369,90"
31005012,LOMBOTOMIA,"1.081,38"
31005020,URETEROENTEROPLASTIA,"2.027,66"
31005039,CISTOENTEROPLASTIA,"2.193,22"
31005047,INCISAO E DRENAGEM DE ABSCESSO PERIURETRAL,"401,92"
31005055,RESSECCAO ENDOSCOPICA DE PROSTATA - EXCLUSIVO PAR,"1.395,02"
31005063,RESSECCAO PARCIAL DA BOLSA ESCROTAL,"623,75"
31005071,ORQUIECTOMIA COM ESVAZIAMENTO GANGLIONAR,"487,37"
31005080,EXERESE DE CISTO DO EPIDIDIMO,"488,27"
31005098,VASECTOMIA PARCIAL OU COMPLETA,"372,28"
31005101,HIPOSPADIA ( TEMPO),"1,00"
31005110,PROSTECTOMIA SUPRA PUBICA,"693,75"
31005128,RESSECCAO ENDOSCOPICA DE PROSTATA,"520,45"
31006019,NEFRECTOMIA PARCIAL,"1.463,98"
31006027,URETEROLITOTOMIA,"1.130,37"
31006035,CISTOLITOTOMIA,"864,41"
31006043,INCISAO E DRENAGEM DE FLEIMAO URINOSO,"401,92"
31006078,ORQUIDOPEXIA UNILATERAL,"693,11"
31006108,HIPOSPADIA ( TEMPOS),"2,00"
31007015,NEFRECTOMIA TOTAL,"1.571,68"
31007023,URETEROENTEROSTOMIA,"2.115,35"
31007031,CISTOPLASTIA (EXTROFIA VESICAL),"2.193,22"
31007040,RESSECCAO DA CARUNCULA URETRAL,"400,24"
31007074,ORQUIDOPEXIA BILATERAL,"741,75"
31008011,NEFROLITOTOMIA,"1.249,25"
31008020,URETEROPLASTIA,"1.280,77"
31008038,CISTOSTOMIA,"650,67"
31008046,RESSECCAO DE PROLAPSO DA MUCOSA DA URETRA,"400,24"
31008100,EPISPADIA,"1.169,03"
31009018,NEFROPIELOSTOMIA,"1.327,75"
31009026,URETEROSTOMIA CUTANEA,"1.280,77"
31009034,CISTORRAFIA,"876,15"
31009042,RESSECCAO E FECHAMENTO DE FISTULA URETRAL,"713,99"
31009077,REPARACAO E OPERACAO PLASTICA DO TESTICULO,"741,42"
31010016,NEFRORRAFIA,"1.181,50"
31010024,RESSECCAO ENDOSCOPICA DA EXTREMIDADE DISTAL DO UR,"1.261,30"
31010032,TRATAMENTO CIRURGICO DE FISTULA VESICO VAGINAL,"2.193,22"
31010040,URETROSTOMIA PERINEAL OU CUTANEA,"646,06"
31010075,TRATAMENTO CIRURGICO DA TORCAO DO TESTICULO OU DO,"741,42"
31011012,NEFROSTOMIA SEM OU COM DRENAGEM,"1.081,38"
31011039,TRATAMENTO CIRURGICO DE FISTULA VESICO UTERINA,"1.221,21"
31011047,URETROTOMIA INTERNA,"678,06"
31011055,RETIRADA DE CALCULO DE PELVE RENAL COM CATETER,"768,75"
31011071,ORQUIECTOMIA BILATERAL,"487,37"
31011101,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88"
31012019,NEFROURETERECTOMIA TOTAL,"1.654,79"
31012027,"COLOCACAO DE CATETER DUPLO ""J"" ","1.019,48"
31012035,TRATAMENTO CIRURGICO DO REFLUXO VESICO URETRAL,"1.729,60"
31012043,URETROSTOMIA EXTERNA,"657,75"
31013015,PIELOLITOTOMIA,"1.385,10"
31013023,RETIRADA PERCUTANEA DO CALCULO URETERAL COM CATET,"1.130,37"
31013031,TRATAMENTO CIRURGICO DA CISTOCELE,"677,70"
31014011,PIELOPLASTIA,"1.288,99"
31014038,DIVERTICULECTOMIA VESICAL,"1.100,93"
31014046,URETROPLASTIA (RESSECCAO DE CORDA),"467,20"
31014054,LINFADENECTOMIA PELVICA,"1.512,91"
31015018,PIELOSTOMIA,"1.110,61"
31015034,EXTRACAO DE CORPO ESTRANHO DA BEXIGA,"825,27"
31015042,URETEROPLASTIA AUTOGENA,"920,45"
31016014,PIELOTOMIA,"1.222,10"
31016030,TRATAMENTO CIRURGICO DA FISTULA VESICO ENTERICA,"1.537,11"
31016049,URETEROPLASTIA HETEROGENEA,"1.050,71"
31017010,SINFISIOTOMIA DO RIM EM FERRADURA (NEFROPLASTIA),"1.397,09"
31017037,TRATAMENTO CIRURGICO DA INCONTINENCIA URINARIA VIA A,"1.187,47"
31017045,URETRORRAFIA,"664,48"
31018017,CAPSULECTOMIA RENAL,"1.077,90"
31018041,MEATOTOMIA,"391,87"
31019013,LIGADURA OU SECCAO DE VASOS ABERRANTES,"983,01"
31019030,RESSECCAO DO COLO VESICAL A CEU ABERTO,"1.139,30"
31020011,DRENAGEM DE ABSCESSO RENAL OU PERI-RENAL,"1.037,04"
31020038,RESSECCAO DO TUMOR VESICAL A CEU ABERTO,"1.370,62"
31021018,FISTULECTOMIA,"1.177,50"
31021034,TRATAMENTO CIRURGICO DA FISTULA VESICO RETAL,"1.594,43"
31021042,INJECAO DE GORDURA OU TEFLON PERIURETRAL,"631,79"
31022014,NEFROLITOTOMIA PERCUTANEA,"2.270,90"
31022030,LITOTRIPSIA,"800,00"
31023010,NEFROSTOMIA PERCUTANEA,"794,82"
31023037,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL,"1.033,95"
31024033,RESSECCAO ENDOSCOPICA DE POLIPOS VESICAIS,"557,14"
31026036,TRATAMENTO CIRURGICO DA BEXIGA NEUROGENICA,"1.277,55"
31027032,CIRURGIA PARA HEMORRAGIA VESICAL (FORMOLIZACAO DA B,"1.329,33"
31028039,TRATAMENTO CIRURGICO DA FISTULA VESICO CUTANEA,"2.193,22"
31701108,AMPUTACAO DO PENIS,"1.141,59"
31701116,RESSECCAO DE TUMOR UROTELIAL MULTICENTRICO E SINCR,"4.651,40"
31702082,EPIDIDIMECTOMIA,"707,71"
