CO_PROCEDIMENTO,NO_PROCEDIMENTO
0101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA
0101010028,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA
0101010036,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO
0101010095,PREVENÇÃO DA COVID-19 NAS ESCOLAS
0101010109,ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA
0101010117,ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO TRABALHADOR
0101020015,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL
0101020023,AÇÃO COLETIVA DE BOCHECHO FLUORADO
0101020031,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA
0101020040,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA
0101020058,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)
0101020066,APLICAÇÃO DE SELANTE (POR DENTE)
0101020074,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)
0101020082,EVIDENCIAÇÃO DE PLACA BACTERIANA
0101020090,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA
0101020104,ORIENTAÇÃO DE HIGIENE BUCAL
0101020112,AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL
0101020120,ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS
0101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
0101030029,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR
0101040024,AVALIAÇÃO ANTROPOMÉTRICA
0101040032,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
0101040040,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)
0101040059,ADMINISTRAÇÃO DE VITAMINA A
0101040075,MEDIÇÃO DE ALTURA
0101040083,MEDIÇÃO DE PESO
0101040091,DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS
0101040105,DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO
0101040113,DISPENSAÇÃO DE SUPLEMENTO DE FERRO
0101040121,AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR
0101050011,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
0101050020,TERAPIA COMUNITÁRIA
0101050046,YOGA
0101050054,OFICINA DE MASSAGEM/ AUTO-MASSAGEM
0101050062,SESSÃO DE ARTETERAPIA
0101050070,SESSÃO DE MEDITAÇÃO
0101050089,SESSÃO DE MUSICOTERAPIA
0101050097,SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE
0101050100,SESSÃO DE BIODANÇA
0101050119,SESSÃO DE BIOENERGÉTICA
0101050127,SESSÃO DE CONSTELAÇÃO FAMILIAR
0101050135,SESSÃO DE DANÇA CIRCULAR
0101050143,SESSÃO DE TERMALISMO
0102010056,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO
0102010064,ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA
0102010072,CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
0102010145,INSPEÇÃO SANITÁRIA DE HOSPITAIS
0102010153,INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS
0102010161,EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.
0102010170,INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
0102010188,LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
0102010196,APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA
0102010200,INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS
0102010218,INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE
0102010226,ATIVIDADE EDUCATIVA PARA A POPULAÇÃO
0102010234,RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES
