CO_PROCEDIMENTO,CO_PROCEDIMENTO_SIA_SIH,TP_PROCEDIMENTO
0101010010,01023012,A
0101010010,01023020,A
0101010010,01023039,A
0101010010,04011023,A
0101010010,04011031,A
0101010010,04012011,A
0101010010,05031010,A
0101010028,07021011,A
0101010028,07021020,A
0101010028,40012018,A
0101020015,03011046,A
0101020023,03011038,A
0101020031,03011020,A
0101020040,03011054,A
0101020058,03022021,A
0101020066,03022030,A
0101020074,03022013,A
0101020082,03022048,A
0101030010,01023020,A
0101030010,40014010,A
0101030010,40015017,A
0101030029,40015017,A
0101040032,07031068,A
0101040040,07031076,A
0201010011,17052017,A
0201010011,29002010,H
0201010020,08011060,A
0201010038,41002016,H
0201010038,41002040,H
0201010046,08021015,A
0201010046,33025070,H
0201010054,33001103,H
0201010054,33002100,H
0201010062,08113017,A
0201010062,17101115,A
0201010062,31025030,H
0201010070,08119015,A
0201010070,31006060,H
0201010089,08091013,A
0201010097,08141010,A
0201010097,36005010,H
0201010100,08111014,A
0201010100,31006094,H
0201010119,08142017,A
0201010119,36009024,H
0201010127,39004023,H
0201010135,39005020,H
0201010143,26011042,A
0201010143,48030023,H
0201010151,08031150,A
0201010160,08031142,A
0201010160,34023038,H
0201010178,08111022,A
0201010178,31003087,H
0201010186,08142025,A
0201010186,36003069,H
0201010194,08131015,A
0201010194,08131023,A
0201010194,08131139,A
0201010194,37004034,H
0201010208,33009082,H
0201010216,08022038,A
0201010216,33008086,H
0201010224,08072019,A
0201010224,32001037,H
0201010232,08011354,A
0201010232,33015023,H
0201010240,08144010,A
0201010240,36010081,H
0201010259,39006026,H
0201010259,39007022,H
0201010267,08052093,A
0201010267,39004198,H
0201010267,39005194,H
0201010275,08052107,A
0201010283,08051011,A
0201010283,39001180,H
0201010291,08082049,A
0201010305,08051038,A
0201010305,08052115,A
0201010305,39001040,H
0201010305,39004058,H
0201010313,08051038,A
0201010313,08052018,A
0201010313,39002110,H
0201010313,39003116,H
0201010313,39005127,H
0201010321,08051038,A
0201010321,08052034,A
0201010321,08052042,A
0201010321,08052077,A
